,brand,model_name,bodyType,color,engineDisplacement,enginePower,fuelType,mileage,productionDate,vehicleTransmission,owners,pts,wd,wheel,state,tax,customs,price
0,Volkswagen,Volkswagen Tiguan I Рестайлинг,внедорожник 5 дв.,белый,1.4,150,Бензин,86863,2015,роботизированная,2 владельца,Оригинал,передний,Левый,Не требует ремонта,3150,Растаможен,1350000₽
1,Skoda,Skoda Octavia IV (A8),лифтбек,белый,1.4,150,Бензин,8600,2021,автоматическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,5250,Растаможен,2200000₽
2,Citroen,Citroen C5 II,универсал 5 дв.,золотистый,1.6,150,Бензин,376000,2010,автоматическая,3 или более,Оригинал,передний,Левый,Не требует ремонта,5250,Растаможен,500000₽
3,Kia,Kia Rio X IV Рестайлинг,Хэтчбек 5 дв.,Серебристый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,1235900₽
4,BMW,BMW 3 серии M340i xDrive VII (G2x),седан,чёрный,3.0,387,Бензин,37000,2020,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,58050,Растаможен,4770000₽
5,Mercedes-Benz,"Mercedes-Benz E-Класс 200 V (W213, S213, C238)",седан,чёрный,2.0,184,Бензин,49609,2016,автоматическая,1 владелец,Оригинал,задний,Левый,Не требует ремонта,9200,Растаможен,1999000₽
6,Opel,Opel Insignia II,лифтбек,белый,1.5,165,Бензин,144800,2018,автоматическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,7425,Растаможен,1649000₽
7,Kia,Kia Rio X IV Рестайлинг,Хэтчбек 5 дв.,Белый,1.4,100,бензин,,,Механическая,,,Передний,,,1200,,1245000₽
8,Toyota,Toyota C-HR I,внедорожник 5 дв.,чёрный,2.0,148,Бензин,69380,2018,вариатор,2 владельца,Дубликат,передний,Левый,Не требует ремонта,5180,Растаможен,1740000₽
9,Rolls-Royce,Rolls-Royce Wraith,купе,чёрный,6.6,632,Бензин,56000,2015,задний,Оригинал,Растаможен,Левый,Не требует ремонта,3 или более,автоматическая,SCA**************,
10,Kia,Kia Rio X IV Рестайлинг,Хэтчбек 5 дв.,Коричневый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,1681104₽
11,Mercedes-Benz,"Mercedes-Benz CLA 200 II (C118, X118)",седан,синий,1.3,150,Бензин,28000,2019,роботизированная,2 владельца,Оригинал,передний,Левый,Не требует ремонта,5250,Растаможен,2495000₽
12,Audi,Audi A6 IV (C7) Рестайлинг,седан,чёрный,1.8,190,Бензин,117087,2015,роботизированная,3 или более,Оригинал,передний,Левый,Не требует ремонта,9500,Растаможен,1695000₽
13,Mercedes-Benz,Mercedes-Benz C-Класс 200 III (W204) Рестайлинг,седан,серый,1.8,184,Бензин,99000,2012,автоматическая,2 владельца,Оригинал,задний,Левый,Не требует ремонта,9200,Растаможен,1195000₽
14,Infiniti,Infiniti QX70,внедорожник 5 дв.,коричневый,3.7,333,Бензин,54114,2015,автоматическая,2 владельца,Оригинал,полный,Левый,Не требует ремонта,49950,5 лет и 1 месяц,2449999₽
15,Kia,Kia Rio X IV Рестайлинг,Хэтчбек 5 дв.,Белый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,1229900₽
16,Volkswagen,Volkswagen Polo V Рестайлинг,седан,чёрный,1.6,110,Бензин,62725,2016,автоматическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,2750,Растаможен,915000₽
17,Ford,Ford Mondeo ECOnetic V,лифтбек,белый,1.5,120,Дизель,88000,2017,механическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,3000,4 года и 11 месяцев,1505000₽
18,Kia,Kia Rio X IV Рестайлинг,Хэтчбек 5 дв.,Серебристый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 1315900₽
19,Kia,Kia Rio X IV Рестайлинг,Хэтчбек 5 дв.,Белый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 920900₽
20,,,,,,70,,,,,,,,,,,,61000₽
21,Toyota,Toyota Camry VII (XV50),седан,чёрный,2.5,181,Бензин,122000,2013,автоматическая,2 владельца,Оригинал,передний,Левый,Не требует ремонта,9050,Растаможен,1295000₽
